锅炉效率	575.00	600.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	600.00	625.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	625.00	650.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	650.00	675.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	675.00	700.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	700.00	725.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	20.00	25.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	15.00	20.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	25.00	30.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	35.00	40.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	30.00	35.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	-5.00	0.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	-10.00	-5.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	0.00	5.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	10.00	15.00	93.58	0.00	2.00
锅炉效率	725.00	750.00	5.00	10.00	93.58	0.00	2.00
锅炉效率	750.00	775.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	750.00	775.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	775.00	800.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	800.00	825.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	825.00	850.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	850.00	875.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	875.00	900.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	900.00	925.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	925.00	950.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	950.00	975.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	20.00	25.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	15.00	20.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	25.00	30.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	35.00	40.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	30.00	35.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	-5.00	0.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	-10.00	-5.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	0.00	5.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	10.00	15.00	94.22	0.00	2.00
锅炉效率	975.00	1000.00	5.00	10.00	94.22	0.00	2.00
锅炉效率	1000.00	1025.00	20.00	25.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	15.00	20.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	25.00	30.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	35.00	40.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	30.00	35.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	-5.00	0.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	-10.00	-5.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	0.00	5.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	10.00	15.00	94.20	0.00	2.00
锅炉效率	1000.00	1025.00	5.00	10.00	94.20	0.00	2.00
供电煤耗	400.00	425.00	20.00	25.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	15.00	20.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	25.00	30.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	35.00	40.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	30.00	35.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	5.00	10.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	0.00	5.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	10.00	15.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	-5.00	0.00	318.27	0.00	2.00
供电煤耗	400.00	425.00	-10.00	-5.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	20.00	25.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	15.00	20.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	25.00	30.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	35.00	40.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	30.00	35.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	-5.00	0.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	-10.00	-5.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	0.00	5.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	10.00	15.00	318.27	0.00	2.00
供电煤耗	425.00	450.00	5.00	10.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	20.00	25.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	15.00	20.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	25.00	30.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	35.00	40.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	30.00	35.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	-5.00	0.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	-10.00	-5.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	0.00	5.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	10.00	15.00	318.27	0.00	2.00
供电煤耗	450.00	475.00	5.00	10.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	20.00	25.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	15.00	20.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	25.00	30.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	35.00	40.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	30.00	35.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	-5.00	0.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	-10.00	-5.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	0.00	5.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	10.00	15.00	318.27	0.00	2.00
供电煤耗	475.00	500.00	5.00	10.00	318.27	0.00	2.00
供电煤耗	500.00	525.00	20.00	25.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	15.00	20.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	25.00	30.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	35.00	40.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	30.00	35.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	-5.00	0.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	-10.00	-5.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	0.00	5.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	10.00	15.00	303.45	0.00	2.00
供电煤耗	500.00	525.00	5.00	10.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	20.00	25.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	15.00	20.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	25.00	30.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	35.00	40.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	30.00	35.00	303.45	0.00	2.00
供电煤耗	525.00	550.00	-5.00	0.00	303.45	0.00	2.00
